connectivity,content,distance,filler,interface,K
0.00 ,0.06,0.02,300,10,2.3755
0.00 ,0.06,0.02,300,20,2.3795
0.00 ,0.06,0.02,300,30,2.3827
0.00 ,0.06,0.02,300,40,2.38565
0.00 ,0.06,0.02,300,50,2.3885
0.00 ,0.06,0.02,400,10,2.46495
0.00 ,0.06,0.02,400,20,2.4679
0.00 ,0.06,0.02,400,30,2.47005
0.00 ,0.06,0.02,400,40,2.47195
0.00 ,0.06,0.02,400,50,2.47375
0.00 ,0.06,0.025,100,10,1.72865
0.00 ,0.06,0.025,100,20,1.74165
0.00 ,0.06,0.025,100,30,1.7538
0.00 ,0.06,0.025,100,40,1.76555
0.00 ,0.06,0.025,100,50,1.77685
0.00 ,0.06,0.025,200,10,2.03215
0.00 ,0.06,0.025,200,20,2.03745
0.00 ,0.06,0.025,200,30,2.0422
0.00 ,0.06,0.025,200,40,2.0467
0.00 ,0.06,0.025,200,50,2.05105
0.00 ,0.06,0.025,300,10,2.16315
0.00 ,0.06,0.025,300,20,2.1664
0.00 ,0.06,0.025,300,30,2.169
0.00 ,0.06,0.025,300,40,2.1714
0.00 ,0.06,0.025,300,50,2.17375
0.00 ,0.06,0.025,400,10,2.2362
0.00 ,0.06,0.025,400,20,2.2386
0.00 ,0.06,0.025,400,30,2.2403
0.00 ,0.06,0.025,400,40,2.24185
0.00 ,0.06,0.025,400,50,2.24335
0.00 ,0.06,0.03,100,10,1.62295
0.00 ,0.06,0.03,100,20,1.6342
0.00 ,0.06,0.03,100,30,1.6448
0.00 ,0.06,0.03,100,40,1.655
0.00 ,0.06,0.03,100,50,1.6648
0.00 ,0.06,0.03,200,10,1.88415
0.00 ,0.06,0.03,200,20,1.8886
0.00 ,0.06,0.03,200,30,1.8926
0.00 ,0.06,0.03,200,40,1.89645
0.00 ,0.06,0.03,200,50,1.90015
0.00 ,0.06,0.03,300,10,1.99485
0.00 ,0.06,0.03,300,20,1.99755
0.00 ,0.06,0.03,300,30,1.9997
0.00 ,0.06,0.03,300,40,2.00175
0.00 ,0.06,0.03,300,50,2.0037
0.00 ,0.06,0.03,400,10,2.05605
0.00 ,0.06,0.03,400,20,2.05805
0.00 ,0.06,0.03,400,30,2.05945
0.00 ,0.06,0.03,400,40,2.06075
0.00 ,0.06,0.03,400,50,2.06195
0.00 ,0.06,0.035,100,10,1.53285
0.00 ,0.06,0.035,100,20,1.5428
0.00 ,0.06,0.035,100,30,1.55215
0.00 ,0.06,0.035,100,40,1.5611
0.00 ,0.06,0.035,100,50,1.56975
0.00 ,0.06,0.035,200,10,1.76085
0.00 ,0.06,0.035,200,20,1.7647
0.00 ,0.06,0.035,200,30,1.76815
0.00 ,0.06,0.035,200,40,1.77145
0.00 ,0.06,0.035,200,50,1.77465
0.00 ,0.06,0.035,300,10,1.85605
0.00 ,0.06,0.035,300,20,1.8583
0.00 ,0.06,0.035,300,30,1.86015
0.00 ,0.06,0.035,300,40,1.8619
0.00 ,0.06,0.035,300,50,1.8636
0.00 ,0.06,0.035,400,10,1.90835
0.00 ,0.06,0.035,400,20,1.90995
0.00 ,0.06,0.035,400,30,1.91115
0.00 ,0.06,0.035,400,40,1.9122
0.00 ,0.06,0.035,400,50,1.91325
0.00 ,0.06,0.04,100,10,1.4544
0.00 ,0.06,0.04,100,20,1.46325
0.00 ,0.06,0.04,100,30,1.47155
0.00 ,0.06,0.04,100,40,1.47955
0.00 ,0.06,0.04,100,50,1.4872
0.00 ,0.06,0.04,200,10,1.6556
0.00 ,0.06,0.04,200,20,1.65905
0.00 ,0.06,0.04,200,30,1.66205
0.00 ,0.06,0.04,200,40,1.6649
0.00 ,0.06,0.04,200,50,1.6677
0.00 ,0.06,0.04,300,10,1.7386
0.00 ,0.06,0.04,300,20,1.7406
0.00 ,0.06,0.04,300,30,1.7422
0.00 ,0.06,0.04,300,40,1.7437
0.00 ,0.06,0.04,300,50,1.74515
0.00 ,0.06,0.04,400,10,1.7839
0.00 ,0.06,0.04,400,20,1.7853
0.00 ,0.06,0.04,400,30,1.7864
0.00 ,0.06,0.04,400,40,1.78735
0.00 ,0.06,0.04,400,50,1.78825
0.00 ,0.06,0.045,100,10,1.38485
0.00 ,0.06,0.045,100,20,1.3928
0.00 ,0.06,0.045,100,30,1.4002
0.00 ,0.06,0.045,100,40,1.40735
0.00 ,0.06,0.045,100,50,1.4142
0.00 ,0.06,0.045,200,10,1.5639
0.00 ,0.06,0.045,200,20,1.5669
0.00 ,0.06,0.045,200,30,1.56955
0.00 ,0.06,0.045,200,40,1.57205
0.00 ,0.06,0.045,200,50,1.5745
0.00 ,0.06,0.045,300,10,1.63685
0.00 ,0.06,0.045,300,20,1.6386
0.00 ,0.06,0.045,300,30,1.64
0.00 ,0.06,0.045,300,40,1.64135
0.00 ,0.06,0.045,300,50,1.6426
0.00 ,0.06,0.045,400,10,1.67645
0.00 ,0.06,0.045,400,20,1.67775
0.00 ,0.06,0.045,400,30,1.67865
0.00 ,0.06,0.045,400,40,1.6795
0.00 ,0.06,0.045,400,50,1.68025
0.00 ,0.06,0.05,100,10,1.3225
0.00 ,0.06,0.05,100,20,1.32965
0.00 ,0.06,0.05,100,30,1.33635
0.00 ,0.06,0.05,100,40,1.3428
0.00 ,0.06,0.05,100,50,1.349
0.00 ,0.06,0.05,200,10,1.48285
0.00 ,0.06,0.05,200,20,1.4855
0.00 ,0.06,0.05,200,30,1.4879
0.00 ,0.06,0.05,200,40,1.49015
0.00 ,0.06,0.05,200,50,1.4923
0.00 ,0.06,0.05,300,10,1.5475
0.00 ,0.06,0.05,300,20,1.5491
0.00 ,0.06,0.05,300,30,1.55035
0.00 ,0.06,0.05,300,40,1.55155
0.00 ,0.06,0.05,300,50,1.55265
0.00 ,0.06,0.05,400,10,1.5825
0.00 ,0.06,0.05,400,20,1.58365
0.00 ,0.06,0.05,400,30,1.58445
0.00 ,0.06,0.05,400,40,1.5852
0.00 ,0.06,0.05,400,50,1.5859
0.00 ,0.08,0.005,100,10,3.20955
0.00 ,0.08,0.005,100,20,3.2485
0.00 ,0.08,0.005,100,30,3.2839
0.00 ,0.08,0.005,100,40,3.31775
0.00 ,0.08,0.005,100,50,3.35055
0.00 ,0.08,0.005,200,10,4.13525
